"carrera","carrera_grupo","Carrera_normalizada"
"Abogado","Derecho","Abogacia"
"Abogado - Ciclo de Complementacion Curricular","Derecho","Abogacia"
"Abogado - MD","Derecho","Abogacia"
"Abogado Especialista en Administracion de Justicia","Derecho","Abogacia"
"Abogado especialista en Asesoramiento de Empresas","Derecho","Abogacia"
"Abogado Especialista en Asesoria Juridica de Empresas","Derecho","Abogacia"
"Abogado especialista en Derecho Administrativo Economico","Derecho","Abogacia"
"Abogado especialista en Derecho Ambiental","Derecho","Abogacia"
"Abogado especialista en Derecho de Alta Tecnologia","Derecho","Abogacia"
"Abogado especialista en Derecho Penal","Derecho","Abogacia"
"Abogado especialista en Derecho Procesal","Derecho","Abogacia"
"Abogado Especialista en Derecho Tributarío","Derecho","Abogacia"
"Abogado especialista en Magistratura","Derecho","Abogacia"
"Abogado especializado para la Magistratura","Derecho","Abogacia"
"Abogado/a","Derecho","Abogacia"
"Bachiller Universitaria -titulo intermedio de la carrera de Abogacia-","Derecho","Abogacia"
"CBC - Abogado","Derecho","Abogacia"
"Escribano - Ciclo de Complementacion Curricular","Derecho","Abogacia"
"Especialista en Abogacia del Estado","Derecho","Abogacia"
"Especialista en Derecho Constitucional","Derecho","Abogacia"
"Magister en Abogacia del Estado","Derecho","Abogacia"
"Magister en Derecho Empresarío Economico","Derecho","Abogacia"
"Licenciatura en Accidentologia Vial","Sociales","Accidentologia"
"Licenciatura en Accidentologia y Prevencion Vial","Sociales","Accidentologia"
"Licenciatura en Gestion de Siniestros","Sociales","Accidentologia"
"Licenciatura en Proteccion Civil y Emergencias","Sociales","Accidentologia"
"Licenciatura en Proteccion Civil y Emergencias - MD","Sociales","Accidentologia"
"Licenciatura en Seguridad Ciudadana","Sociales","Accidentologia"
"Licenciatura en Seguridad Ciudadana - Ciclo de Licenciatura","Sociales","Accidentologia"
"Licenciatura en Seguridad Publica","Sociales","Accidentologia"
"Licenciatura en Seguridad Publica - Ciclo de Licenciatura","Sociales","Accidentologia"
"Licenciatura en Sistema de Proteccion Contra Siniestros","Sociales","Accidentologia"
"Maestria en Seguridad Publica","Sociales","Accidentologia"
"Magister en Aplicaciones Espaciales de Alerta y Respuesta Temprana a Emergencias","Sociales","Accidentologia"
"Perito en Accidentologia","Sociales","Accidentologia"
"Tecnicatura en Accidentologia Vial","Sociales","Accidentologia"
"Tecnicatura en Proteccion Civil y Emergencias","Sociales","Accidentologia"
"Tecnicatura en Proteccion Civil y Emergencias - MD","Sociales","Accidentologia"
"Tecnicatura en Seguridad Publica","Sociales","Accidentologia"
"Tecnicatura Universitaria en Emergencias Sanitarias y Desastres","Sociales","Accidentologia"
"Tecnicatura Universitaria en Proteccion Civil y Emergencias","Sociales","Accidentologia"
"Tecnicatura Universitaria en Proteccion de Incendios","Sociales","Accidentologia"
"Tecnicatura Universitaria en Seguridad Publica","Sociales","Accidentologia"
"Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientación en Criminalistica","Sociales","Accidentologia"
"Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientación en Siniestros","Sociales","Accidentologia"
"Tecnicatura Universitaria en Seguridad Publica y Ciudadana con Orientación en Tecnologias de la Información y Comunicaciones Policiale","Sociales","Accidentologia"
"Especialista en Deporte y Actividad Fisica para la Salud","Deporte","Actividad Fisica y Deportes"
"Especialista en Entrenamiento de Deporte Social","Deporte","Actividad Fisica y Deportes"
"Especialista en Programación y Evaluacion del Ejercicio","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Actividad Fisica","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Actividad Fisica - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Actividad Fisica y Deporte","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Actividad Fisica y Deporte - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Actividad Fisica y Deportiva","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Actividad Fisica y Deportiva - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Alto Rendimiento Deportivo - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Enseñanza de las Ciencias","Deporte","Actividad Fisica y Deportes"
"Licenciatura en Tiempo Libre para el Deporte y el Turismo - Ciclo de Licenciatura","Deporte","Actividad Fisica y Deportes"
"Magister en Actividad Fisica y Calidad de Vida","Deporte","Actividad Fisica y Deportes"
"Magister en Deporte","Deporte","Actividad Fisica y Deportes"
"Magister en Diseño y Gestion de Programas de Actividad Fisica para la Salud","Deporte","Actividad Fisica y Deportes"
"Tecnicatura Deportivo","Deporte","Actividad Fisica y Deportes"
"Tecnicatura Deportivo en Box","Deporte","Actividad Fisica y Deportes"
"Tecnicatura Deportivo en Judo","Deporte","Actividad Fisica y Deportes"
"Tecnicatura Deportivo en Karate","Deporte","Actividad Fisica y Deportes"
"Tecnicatura Deportivo en Taekwondo","Deporte","Actividad Fisica y Deportes"
"Tecnicatura en Deportes","Deporte","Actividad Fisica y Deportes"
"Tecnicatura Universitaria en Yoga","Deporte","Actividad Fisica y Deportes"
"Actuarío","Economicas","Actuarío"
"Actuarío (Administracion)","Economicas","Actuarío"
"Actuarío (Economia)","Economicas","Actuarío"
"Ciclo Actuarío","Economicas","Actuarío"
"Especialista en Tecnicas Actuariales de la Seguridad Social","Economicas","Actuarío"
"Analista Administrativo Agropecuarío","Economicas","Administracion de Empresas Agropecuarias"
"Analista en Administracion Agraria","Economicas","Administracion de Empresas Agropecuarias"
"Diplomado Superíor en Planificacion y Proyectos de Inversion Agraríos y Rurales","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Administracion de la Educacion","Educacion","Administracion de Empresas Agropecuarias"
"Especialista en Agroecologia","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Agroeconomia","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Agronegocios y Alimentos","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Alta Direccion de Agronegocios y Alimentos","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Gerenciamiento de Empresas Vitivinicolas","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Gestion de la Empresa Agropecuaria","Economicas","Administracion de Empresas Agropecuarias"
"Especialista en Gestion de la Industria Agroalimentaria","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Politicas Agroalimentarias","Naturales","Administracion de Empresas Agropecuarias"
"Especialista en Produccion Avicola","Naturales","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion Agraria - MD","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion Agropecuaria","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion de Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion de Negocios Agropecuaríos","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion Rural","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Administracion y Gestion de Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Agronegocios","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Agronegocios - Ciclo de Licenciatura","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Economia y Administracion Agrarias","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Gestion de Agroalimentos","Naturales","Administracion de Empresas Agropecuarias"
"Licenciatura en Gestion de Agroempresas - Ciclo de Complementacion Curricular - MD","Naturales","Administracion de Empresas Agropecuarias"
"Licenciatura en Gestion de Empresas Agroindustriales","Economicas","Administracion de Empresas Agropecuarias"
"Licenciatura en Gestion de Empresas Agropecuarias","Economicas","Administracion de Empresas Agropecuarias"
